;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc
38;4.0;12.0;4.14083195;59.7593613;16.0;66.2533112;0.5823774499999956;27.610997749999996;47.98846054;-1.999873100000002;57.447139;4.2852851;16.061672036;68.5645616;-28.8973339;-1.3500005999999993;2.311250400000006;8.0;177.99;20335.4399;167.6075;10.3623;165.797
49;5.0;11.0;5.43484879;38.2727509;16.0;86.95758064;-0.2242474100000038;21.28664689;45.98755742000001;1.6820241199999941;37.111699;5.5073535;16.039841045;88.117656;15.086728499999998;2.6946246000000103;1.1600753599999933;6.0;26.373;23417.5656;24.8254;1.5354;24.566
50;5.0;12.0;5.17970181;45.2467651;17.0;88.05493077;1.0973501299999953;21.80161957;49.412617319999995;0.8731027199999915;43.716322;5.2696677;17.046931399;89.5843509;-21.840433099999995;1.3836938999999984;1.5294201300000054;7.0;219.114;22684.4422;204.841;12.0061;204.104
51;5.0;13.0;4.92249775;52.7681198;18.0;88.60495949999999;0.550028729999994;23.893143019999997;50.194322539999995;1.6473788599999892;51.79264;4.9766306;18.055601683;89.57935080000001;-23.309133899999985;1.461694800000012;0.9743913000000077;8.0;219.18;26873.3742;206.3572;11.3425;204.165
52;5.0;14.0;4.75975418;59.0091324;19.0;90.43532942;1.8303699200000096;23.70546248000001;52.38040595;2.3803986500000036;59.770250999999995;4.7196346;19.064166;89.6730574;-42.4695812;0.08870650000000023;-0.7622720199999975;9.0;564.0;27356.4961;534.4964;27.6507;525.363
53;5.0;15.0;4.49127626;67.6903152;20.0;89.8255252;-0.6098042200000009;25.52116615;52.329333160000004;1.2205657000000087;69.40156900000001;4.4056529;20.074505644;88.11305800000001;-43.70678360000001;-1.4662928000000102;-1.712467200000006;10.0;586.538;31898.0019;593.0377;27.3178;546.357
54;5.0;16.0;4.19658375;77.4589615;21.0;88.12825875;-1.6972664500000008;25.181099950000004;54.5905161;-2.3070706700000017;78.382887;4.1525265;21.084147485;87.2030565;-58.766999500000004;-2.470000899999999;-0.9252022500000123;11.0;599.75;32740.0;817.0;26.6031;558.664
63;6.0;10.0;6.89816666;14.0773163;16.0;110.37066656;4.507874959999995;23.188838509999997;42.11748226;5.902274140000003;13.694132999999999;6.9220546;16.014701255;110.7528736;42.188312;5.468396399999998;0.3822070399999973;4.0;3.84;8010.226;4.254;0.2236;3.578
64;6.0;11.0;6.50885391;21.8688431;17.0;110.65051647;0.2798499099999958;23.692935829999996;44.979582719999996;4.787724869999991;21.03188;6.5580262000000005;17.02257865;111.4864454;14.155602199999993;4.983901399999988;0.8359289300000086;5.0;18.641;13161.8007;22.9464;1.0215;17.365
65;6.0;12.0;6.3491888;26.3053284;18.0;114.2853984;3.634881930000006;26.230467630000007;48.03208720000001;3.9147318400000017;24.919266;6.4261321;18.02675193;115.6703778;21.783367700000003;4.917504199999995;1.384979400000006;6.0;32.206;11806.0982;35.2821;1.6667;30.0
66;6.0;13.0;6.04438353;33.8188248;19.0;114.84328707;0.557888669999997;26.23832757000001;50.131470590000006;4.192770600000003;32.413754;6.118274;19.034797594;116.247206;4.607289199999999;4.760760600000009;1.4039189300000032;7.0;105.625;16557.4995;99.7475;5.1784;98.389
67;6.0;14.0;5.94862747;37.7609406;20.0;118.97254939999999;4.129262329999989;28.53721997999999;52.24268246;4.687150999999986;37.503567000000004;5.9614356;20.040261732;119.228712;7.100227199999994;3.5583341999999973;0.25616260000001034;8.0;247.585;15737.0689;243.7459;11.5312;230.625
68;6.0;15.0;5.61309242;46.9299316;21.0;117.87494082;-1.097608579999985;28.049415620000005;53.570581770000004;3.031653750000004;45.643;5.674;21.049;119.154;-15.406504000000016;2.9067939999999943;1.2790591800000044;9.0;640.0;20411.0;611.0;28.0;596.0
